title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Cunt_Count,Profanity
The Flintstones,0,0,0,0,0,[]
Forrest Gump,11,3,7,1,0,TRUE
Four Feathers,0,0,0,0,0,[]
Four Rooms,60,48,8,4,0,TRUE
Foxcatcher,10,6,4,0,0,TRUE
Fracture,7,2,4,1,0,TRUE
Frances,14,7,3,4,0,TRUE
Frankenstein,0,0,0,0,0,[]
Frankenweenie,0,0,0,0,0,[]
Freaked,15,3,12,0,0,TRUE
Freddy vs. Jason,53,5,6,42,0,TRUE
The French Connection,12,2,9,1,0,TRUE
Frequency,20,16,4,0,0,TRUE
Friday the 13th,4,2,2,0,0,TRUE
Friday the 13th Part VIII: Jason Takes Manhattan,0,0,0,0,0,[]
Fright Night,33,17,14,2,0,TRUE
Fright Night (1985),4,3,1,0,0,TRUE
From Dusk Till Dawn,85,46,36,3,0,TRUE
From Here to Eternity,0,0,0,0,0,[]
Frozen,53,28,25,0,0,TRUE
Frozen (Disney),0,0,0,0,0,[]
Frozen River,12,2,6,4,0,TRUE
Fruitvale Station,106,62,32,12,0,TRUE
The Fugitive,2,0,2,0,0,TRUE
Full Metal Jacket,0,0,0,0,0,[]
Funny People,148,95,49,4,0,TRUE
Fury,0,0,0,0,0,[]
G.I. Jane,22,12,9,1,0,TRUE
G.I. Joe: The Rise of Cobra,0,0,0,0,0,[]
Game 6,2,0,1,1,0,TRUE
The Game,62,43,16,3,0,TRUE
Gamer,61,34,21,5,1,TRUE
Gandhi,0,0,0,0,0,[]
Gang Related,64,29,34,1,0,TRUE
Gangs of New York,2,0,0,2,0,TRUE
Garden State,80,57,17,5,1,TRUE
Gattaca,3,2,1,0,0,TRUE
Get Carter,12,2,6,4,0,TRUE
Get Low,4,1,1,2,0,TRUE
Get on Up,21,4,16,1,0,TRUE
Get Out,49,24,23,2,0,TRUE
Get Shorty,0,0,0,0,0,[]
The Getaway,0,0,0,0,0,[]
Ghost,9,4,4,1,0,TRUE
The Ghost and the Darkness,4,2,1,1,0,TRUE
Ghost Rider,51,44,7,0,0,TRUE
Ghost Ship,25,16,6,3,0,TRUE
Ghost World,30,21,5,3,1,TRUE
Ghostbusters,0,0,0,0,0,[]
Ghostbusters 2,1,0,1,0,0,TRUE
Ginger Snaps,0,0,0,0,0,[]
The Girl with the Dragon Tattoo,8,8,0,0,0,TRUE
Gladiator,1,0,1,0,0,TRUE
Glengarry Glen Gross,137,118,17,0,2,TRUE
Go,88,58,26,4,0,TRUE
Godfather,2,0,0,2,0,TRUE
Godfather Part II,5,2,1,2,0,TRUE
The Godfather Part III,13,3,8,1,1,TRUE
Gods and Monsters,18,11,5,2,0,TRUE
Godzilla,1,0,1,0,0,TRUE
Gone Baby Gone,75,49,19,6,1,TRUE
Gone in 60 Seconds,35,9,26,0,0,TRUE
The Good Girl,7,4,3,0,0,TRUE
Good Will Hunting,51,34,14,3,0,TRUE
Goodfellas,0,0,0,0,0,[]
Gothika,20,12,6,2,0,TRUE
Grabbers,20,9,9,1,1,TRUE
The Graduate,0,0,0,0,0,[]
Gran Torino,55,30,11,14,0,TRUE
Grand Hotel,0,0,0,0,0,[]
Grand Theft Parsons,14,2,8,4,0,TRUE
The Grapes of Wrath,0,0,0,0,0,[]
Gravity,6,1,4,1,0,TRUE
The Great Gatsby,1,0,0,1,0,TRUE
The Green Mile,24,12,7,5,0,TRUE
Gremlins,3,1,1,1,0,TRUE
Gremlins 2,1,0,1,0,0,TRUE
The Grifters,8,3,4,1,0,TRUE
Grosse Point Blank,19,18,1,0,0,TRUE
Groundhog Day,1,0,1,0,0,TRUE
The Grudge,0,0,0,0,0,[]
Guardians of the Galaxy Vol 2,3,0,3,0,0,TRUE
Hackers,20,1,18,1,0,TRUE
Hall Pass,6,1,5,0,0,TRUE
Halloween,26,11,11,4,0,TRUE
Halloween: The Curse of Michael Myers,0,0,0,0,0,[]
Hancock,37,21,14,2,0,TRUE
The Hangover,13,3,8,2,0,TRUE
Hanna,13,7,5,1,0,TRUE
Hannah and Her Sisters,1,1,0,0,0,TRUE
Hannibal,2,2,0,0,0,TRUE
"Happy Birthday, Wanda June",18,6,5,7,0,TRUE
Happy Feet,0,0,0,0,0,[]
Hard Rain,12,2,9,1,0,TRUE
Hard to Kill,28,17,10,1,0,TRUE
Harold and Kumar Go to White Castle,106,53,51,2,0,TRUE
Harry Potter and the Chamber of Secrets,0,0,0,0,0,[]
Harry Potter and the Deathly Hallows Part 1,0,0,0,0,0,[]
Harry Potter and the Goblet of Fire,0,0,0,0,0,[]
Harry Potter and the Half-Blood Prince,0,0,0,0,0,[]
Harry Potter and the Prisoner of Azkaban,0,0,0,0,0,[]
Harry Potter and the Sorcerer's Stone,0,0,0,0,0,[]
The Haunting,7,3,3,1,0,TRUE
He's Just Not That Into You,16,1,15,0,0,TRUE
Heat,51,42,6,3,0,TRUE
Heathers,54,27,19,7,1,TRUE
Heavenly Creatures,0,0,0,0,0,[]
Heavy Metal,6,1,3,2,0,TRUE
The Hebrew Hammer,20,7,11,2,0,TRUE
Heist,17,13,3,1,0,TRUE
Hellbound: Hellraiser II,0,0,0,0,0,[]
Hellboy,0,0,0,0,0,[]
Hellboy 2: The Golden Army,0,0,0,0,0,[]
Hellraiser,21,11,8,2,0,TRUE
Hellraiser 3: Hell on Earth,0,0,0,0,0,[]
Hellraiser: Deader,0,0,0,0,0,[]
Hellraiser: Hellseeker,0,0,0,0,0,[]
The Help,6,0,6,0,0,TRUE
Henry Fool,25,14,11,0,0,TRUE
Henry's Crime,20,10,8,2,0,TRUE
Her,33,28,5,0,0,TRUE
Hesher,88,68,18,2,0,TRUE
High Fidelity,68,59,9,0,0,TRUE
Highlander,3,0,1,2,0,TRUE
Highlander: Endgame,0,0,0,0,0,[]
The Hills Have Eyes,11,7,3,1,0,TRUE
His Girl Friday,0,0,0,0,0,[]
Hitchcock,0,0,0,0,0,[]
The Hitchhiker's Guide to the Galaxy,1,0,1,0,0,TRUE
Hollow Man,32,15,17,0,0,TRUE
Honeydripper,1,0,1,0,0,TRUE
Horrible Bosses,60,40,16,4,0,TRUE
The Horse Whisperer,8,1,7,0,0,TRUE
The Hospital,7,1,1,5,0,TRUE
Hostage,62,45,16,1,0,TRUE
Hot Tub Time Machine,76,54,21,1,0,TRUE
Hotel Rwanda,9,7,2,0,0,TRUE
House of 1000 Corpses,105,76,21,8,0,TRUE
How to Lose Friends & Alienate People,0,0,0,0,0,[]
How to Train Your Dragon,0,0,0,0,0,[]
How to Train Your Dragon 2,0,0,0,0,0,[]
Hudson Hawk,24,14,8,2,0,TRUE
The Hudsucker Proxy,0,0,0,0,0,[]
Human Nature,24,13,5,5,1,TRUE
The Hunt for Red October,3,3,0,0,0,TRUE
The Hurt Locker,44,28,16,0,0,TRUE
I Am Number Four,1,0,1,0,0,TRUE
I am Sam,2,1,1,0,0,TRUE
I Love You Phillip Morris,44,32,8,4,0,TRUE
I Spit on Your Grave,53,21,22,9,1,TRUE
I Still Know What You Did Last Summer,0,0,0,0,0,[]
I'll Do Anything,20,9,11,0,0,TRUE
"I, Robot",2,0,2,0,0,TRUE
The Ice Storm,19,3,16,0,0,TRUE
The Ides of March,62,49,13,0,0,TRUE
The Imaginarium of Doctor Parnassus,3,1,1,1,0,TRUE
In the Bedroom,10,4,3,3,0,TRUE
In the Loop,168,140,24,2,2,TRUE
Inception,1,0,1,0,0,TRUE
The Incredibles,0,0,0,0,0,[]
Independence Day,6,2,3,1,0,TRUE
Indiana Jones and the Last Crusade,0,0,0,0,0,[]
Indiana Jones and the Raiders of the Lost Ark,1,0,1,0,0,TRUE
Indiana Jones and the Temple of Doom,0,0,0,0,0,[]
Indiana Jones IV,2,0,0,2,0,TRUE
The Informant,17,10,7,0,0,TRUE
Inglourious Basterds,35,28,4,2,1,TRUE
Innerspace,0,0,0,0,0,[]
The Insider,39,36,3,0,0,TRUE
Insidious,14,8,3,2,1,TRUE
Insomnia,27,18,8,1,0,TRUE
Interstellar,0,0,0,0,0,[]
