title,Swear_Count,Fuck_Count,Shit_Count,Bitch_Count,Profanity,Genre
Hot Tub Time Machine,75,53,21,1,True,Crime
Hotel Rwanda,9,7,2,0,True,Crime
House of 1000 Corpses,104,75,21,8,True,Crime
How to Lose Friends & Alienate People,0,0,0,0,[],Crime
How to Train Your Dragon,0,0,0,0,[],Crime
How to Train Your Dragon 2,0,0,0,0,[],Crime
Hudson Hawk,24,14,8,2,True,Crime
"Hudsucker Proxy, The",0,0,0,0,[],Crime
Human Nature,23,13,5,5,True,Crime
"Hunt for Red October, The",3,3,0,0,True,Crime
"Hurt Locker, The",44,28,16,0,True,Crime
I Am Number Four,1,0,1,0,True,Crime
I am Sam,2,1,1,0,True,Crime
I Love You Phillip Morris,42,31,7,4,True,Crime
I Spit on Your Grave,51,21,21,9,True,Crime
I Still Know What You Did Last Summer,0,0,0,0,[],Crime
I'll Do Anything,20,9,11,0,True,Crime
"I, Robot",2,0,2,0,True,Crime
"Ice Storm, The",19,3,16,0,True,Crime
"Ides of March, The",61,48,13,0,True,Crime
"Imaginarium of Doctor Parnassus, The",3,1,1,1,True,Crime
In the Bedroom,10,4,3,3,True,Crime
In the Loop,158,136,20,2,True,Crime
Inception,1,0,1,0,True,Crime
"Incredibles, The",0,0,0,0,[],Crime
Independence Day,5,2,2,1,True,Crime
Indiana Jones and the Last Crusade,0,0,0,0,[],Crime
Indiana Jones and the Raiders of the Lost Ark,1,0,1,0,True,Crime
Indiana Jones and the Temple of Doom,0,0,0,0,[],Crime
Indiana Jones IV,2,0,0,2,True,Crime
"Informant, The",17,10,7,0,True,Crime
Inglourious Basterds,32,26,4,2,True,Crime
Innerspace,0,0,0,0,[],Crime
"Insider, The",39,36,3,0,True,Crime
Insidious,13,8,3,2,True,Crime
Insomnia,27,18,8,1,True,Crime
Interstellar,0,0,0,0,[],Crime
Interview with the Vampire,3,0,3,0,True,Crime
Into the Wild,6,2,4,0,True,Crime
Into the Woods,0,0,0,0,[],Crime
Intolerable Cruelty,6,1,4,1,True,Crime
Inventing the Abbotts,30,15,15,0,True,Crime
"Invention of Lying, The",29,18,8,3,True,Crime
Invictus,1,0,1,0,True,Crime
"Iron Lady, The",0,0,0,0,[],Crime
"Island, The",19,17,2,0,True,Crime
It,22,7,15,0,True,Crime
It Happened One Night,0,0,0,0,[],Crime
It Happened One Night,0,0,0,0,[],Crime
It's a Wonderful Life,0,0,0,0,[],Crime
It's Complicated,2,0,1,1,True,Crime
"Italian Job, The",18,5,13,0,True,Crime
"Jacket, The",22,15,7,0,True,Crime
Jackie Brown,110,54,50,6,True,Crime
Jacob's Ladder,31,15,13,3,True,Crime
Jade,0,0,0,0,[],Crime
Jane Eyre,0,0,0,0,[],Crime
Jason X,58,17,33,8,True,Crime
Jaws,1,0,1,0,True,Crime
